Date,City,Chai_Type,Cups_Sold,Revenue
2024-01-01,Delhi,Masala,120,1800
2024-01-01,Mumbai,Adrak,100,1500
2024-01-02,Bangalore,Tulsi,90,1350
2024-01-02,Hyderabad,Masala,130,1950
2024-01-03,Chennai,Adrak,80,1200
2024-01-03,Kolkata,Masala,110,1650
2024-01-04,Pune,Tulsi,95,1425
2024-01-04,Delhi,Lemon,105,1575
2024-01-05,Mumbai,Masala,125,1875
2024-01-05,Bangalore,Adrak,100,1500
2024-01-06,Hyderabad,Tulsi,85,1275
2024-01-06,Chennai,Lemon,90,1350
2024-01-07,Kolkata,Masala,115,1725
2024-01-07,Pune,Adrak,105,1575
2024-01-08,Delhi,Tulsi,100,1500
2024-01-08,Mumbai,Lemon,120,1800
2024-01-09,Bangalore,Masala,130,1950
2024-01-09,Hyderabad,Adrak,95,1425
2024-01-10,Chennai,Tulsi,85,1275
2024-01-10,Kolkata,Lemon,110,1650
2024-01-11,Pune,Masala,125,1875
2024-01-11,Delhi,Adrak,115,1725
2024-01-12,Mumbai,Tulsi,90,1350
2024-01-12,Bangalore,Lemon,100,1500
2024-01-13,Hyderabad,Masala,130,1950
